generation,max_fitness,avg_fitness,best_individual
0,391,378.467,0011100010111101010111101000110100011010100100101111110100110011000001110000001010100110001100101110
1,391,379.4,0011100010111101010111101000110100011010100100101111110100110011000001110000001010100110001100101110
2,391,380.667,0011100010111101010111101000110100011010100100101111110100110011000001110000001010100110001100101110
3,392,379.4,1010110010111011110101110110010111110001011000011001001111010000100110000101111000011001000010101100
4,392,380.6,1010110010111011110101110110010111110001011000011001001111010000100110000101111000011001000010101100
5,393,380.933,1000000100001011010001011100110000111010001000111100010100010111110110000011000100100110000110101111
6,393,380.933,1000000100001011010001011100110000111010001000111100010100010111110110000011000100100110000110101111
7,393,380.733,1000000100001011010001011100110000111010001000111100010100010111110110000011000100100110000110101111
8,395,380.7,0011100001111011010111001000110100011010101000101101110101110001000001010101001100001110001100101010
9,395,381.1,0011100001111011010111001000110100011010101000101101110101110001000001010101001100001110001100101010
10,395,382.467,0011100001111011010111001000110100011010101000101101110101110001000001010101001100001110001100101010
11,395,382.167,0011100001111011010111001000110100011010101000101101110101110001000001010101001100001110001100101010
12,395,383.333,0011100001111011010111001000110100011010101000101101110101110001000001010101001100001110001100101010
13,395,381.367,0011100001111011010111001000110100011010101000101101110101110001000001010101001100001110001100101010
14,395,382.033,0011100001111011010111001000110100011010101000101101110101110001000001010101001100001110001100101010
15,395,383.367,1000110010110011011010100100101111110101000110101101110101100001000001000101101111100001011010100001
16,395,383.8,0011100001111011010111001000110100011010101000101101110101110001000001010101001100001110001100101010
17,397,384.067,1000110010010011011010100100101111110101000110101101010101100001000001000101101111101001011000100001
18,397,383.1,1000110010010011011010100100101111110101000110101101010101100001000001000101101111101001011000100001
19,397,384.167,1000110010010011011010100100101111110101000110101101010101100001000001000101101111101001011000100001
20,397,384.9,1000110010010011011010100100101111110101000110101101010101100001000001000101101111101001011000100001
21,397,383.867,1000110010010011011010100100101111110101000110101101010101100001000001000101101111101001011000100001
22,400,385.367,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
23,400,384.1,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
24,400,386.367,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
25,400,385.567,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
26,400,385.1,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
27,400,383.7,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
28,400,380.667,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
29,400,380.667,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
30,400,380.867,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
31,400,383.133,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
32,400,384.067,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
33,400,385.2,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
34,400,387.833,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
35,400,386.3,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
36,400,384.333,0011100001001011010111001000111110110011010100101001101000000000010011000101101110001111001010101001
