generation,max_fitness,avg_fitness,best_individual
0,392,377.933,0001100000010001000000000101000110100000110000101010000100011000001101010100010100110010001111101011
1,393,378.267,0101000010100000100011011011110100010111100100101100010010011000111001100111101100000001101101011001
2,393,380.833,0101000010100000100011011011110100010111100100101100010010011000111001100111101100000001101101011001
3,393,381,0101000010100000100011011011110100010111100100101100010010011000111001100111101100000001101101011001
4,393,382.433,0101000010100000100011011011110100010111100100101100010010011000111001100111101100000001101101011001
5,393,380.7,0101000010100000100011011011110100010111100100101100010010011000111001100111101100000001101101011001
6,394,382.2,0101000110000000100011011110110100010111100100101101010011010100100101110101101100010000101001001011
7,394,380.767,0101000110000000100011011110110100010111100100101101010011010100100101110101101100010000101001001011
8,394,381.1,0101000110000000100011011110110100010111100100101101010011010100100101110101101100010000101001001011
9,394,381.867,0101000110000000100011011110110100010111100100101101010011010100100101110101101100010000101001001011
10,395,383.3,1111000010010111011101100001111000101000110010101000010011011000101101100110101100000101001101000101
11,395,382.967,1111000010010111011101100001111000101000110010101000010011011000101101100110101100000101001101000101
12,395,381.367,1111000010010111011101100001111000101000110010101000010011011000101101100110101100000101001101000101
13,395,382.533,1111000010010111011101100001111000101000110010101000010011011000101101100110101100000101001101000101
14,395,382.033,1111000010010111011101100001111000101000110010101000010011011000101101100110101100000101001101000101
15,395,384,0101000000100010100011011011110110010111011110101101110000111000010010111101100101101101001111011001
16,398,382.7,0111011010100010011001111011110100011111010100101101010011010100100101110101101100011000101001101011
17,398,383.133,0111011010100010011001111011110100011111010100101101010011010100100101110101101100011000101001101011
18,398,382.867,0111011010100010011001111011110100011111010100101101010011010100100101110101101100011000101001101011
19,398,386.067,0111011010100010011001111011110100011111010100101101010011010100100101110101101100011000101001101011
20,402,385.033,0101000000100010001001110011100110000111000100101100000011110000000110111101100101101011001111001001
21,402,383.933,0101000000100010001001110011100110000111000100101100000011110000000110111101100101101011001111001001
22,402,385.567,0101000000100010001001110011100110000111000100101100000011110000000110111101100101101011001111001001
23,403,387.567,0000011110100100001010011010110100010111011110101000010011010101101101110101101100011000000000001011
24,403,386.867,0000011110100100001010011010110100010111011110101000010011010101101101110101101100011000000000001011
25,403,387.2,0000011110100100001010011010110100010111011110101000010011010101101101110101101100011000000000001011
26,404,389.567,0101000000100010001011110011100110001110000100101100000011110000000110110111101110011000100000001010
27,404,388.167,0101000000100010001011110011100110001110000100101100000011110000000110110111101110011000100000001010
28,404,386.533,0101000000100010001011110011100110001110000100101100000011110000000110110111101110011000100000001010
29,404,387.867,0101000000100010001011110011100110001110000100101100000011110000000110110111101110011000100000001010
30,404,389.067,0101000000100010001011110011100110001110000100101100000011110000000110110111101110011000100000001010
31,407,389.133,0101000000100010101011110010100110001110000100101100000011110000000110110111101110011001000000001011
32,407,390.667,0101000000100010101011110010100110001110000100101100000011110000000110110111101110011001000000001011
33,407,390.933,0101000000100010101011110010100110001110000100101100000011110000000110110111101110011001000000001011
34,407,388.8,0101000000100010101011110010100110001110000100101100000011110000000110110111101110011001000000001011
35,407,388.433,0101000000100010101011110010100110001110000100101100000011110000000110110111101110011001000000001011
36,407,389,0101000000100010101011110010100110001110000100101100000011110000000110110111101110011001000000001011
37,407,391.933,0101000000100010101011110010100110001110000100101100000011110000000110110111101110011001000000001011
38,408,393.7,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
39,408,391.967,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
40,408,392.2,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
41,408,393.633,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
42,408,393.267,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
43,408,395.7,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
44,408,392.967,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
45,408,391.333,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
46,408,391.3,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
47,408,390.933,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
48,408,390.633,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
49,408,389.2,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
50,408,389.433,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
51,408,391.7,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
52,408,393,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
53,408,391.3,0100001010100010001001110110100110001110001100111100000011110000000110110111100110011000001000101011
