generation,max_fitness,avg_fitness,best_individual
0,393,375.2,0111100011100111100101010000011010111011010011011101111001110011100111101011110100010011000101101000
1,393,376.3,0111100011100111100101010000011010111011010011011101111001110011100111101011110100010011000101101000
2,393,377.467,0111100011100111100101010000011010111011010011011101111001110011100111101011110100010011000101101000
3,393,379.567,0111100011100111100101010000011010111011010011011101111001110011100111101011110100010011000101101000
4,393,379.9,0111100011100111100101010000011010111011010011011101111001110011100111101011110100010011000101101000
5,393,379.967,0111100011100111100101010000011010111011010011011101111001110011100111101011110100010011000101101000
6,395,382.5,0000111111000001011011000111010100111000111101101010110101100100011001100111101011010111000011101001
7,395,384.333,0000111111000001011011000111010100111000111101101010110101100100011001100111101011010111000011101001
8,395,382.767,0111100011100111110001000100010010111011010011011101111001110011100111101011110100010011000000111111
9,400,382,0000110010101111100110000111110111111000011110101010010011110000110111100011100110111000010001111011
10,400,380.7,0000110010101111100110000111110111111000011110101010010011110000110111100011100110111000010001111011
11,400,381.3,0000110010101111100110000111110111111000011110101010010011110000110111100011100110111000010001111011
12,400,383.933,0000110010101111100110000111110111111000011110101010010011110000110111100011100110111000010001111011
13,401,386.3,1000110010101101100110000111010111110011011110101011010011110001110111110011100110111001010001111011
14,401,385.933,1000110010101101100110000111010111110011011110101011010011110001110111110011100110111001010001111011
15,401,386.6,1000110010101101100110000111010111110011011110101011010011110001110111110011100110111001010001111011
16,401,385.667,1000110010101101100110000111010111110011011110101011010011110001110111110011100110111001010001111011
17,401,385.133,1000110010101101100110000111010111110011011110101011010011110001110111110011100110111001010001111011
18,401,387.4,1000110010101101100110000111010111110011011110101011010011110001110111110011100110111001010001111011
19,401,386.867,1000110010101101100110000111010111110011011110101011010011110001110111110011100110111001010001111011
20,401,386.133,1000110010101101100110000111010111110011011110101011010011110001110111110011100110111001010001111011
21,407,388.833,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
22,407,387.067,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
23,407,386.1,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
24,407,387.767,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
25,407,390.2,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
26,407,391.3,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
27,407,393.3,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
28,407,394.767,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
29,407,394.067,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
30,407,394.3,0000110010101111100110000111110110110010011110101010010011110000110111100010110110111001010100111001
31,408,392.933,0000110010100111100010001111110010110010011110101010010011110000010111000010110110111001010100111001
32,408,393.9,0000110010100111100010001111110010110010011110101010010011110000010111000010110110111001010100111001
33,408,390.733,0000110010100111100010001111110010110010011110101010010011110000010111000010110110111001010100111001
34,408,390.6,0000110010000111100110000011010110110010010110101010010011100000110111100001110110111001010100111001
35,408,391.533,0000110010100111100010001111110010110010011110101010010011110000010111000010110110111001010100111001
36,408,391.767,0000110010000111100110000011010110110010010110101010010011100000110111100001110110111001010100111001
37,408,393.433,0000110010100111100010001111110010110010011110101010010011110000010111000010110110111001010100111001
38,408,393.433,0000110010000111100110000011010110110010010110101010010011100000110111100001110110111001010100111001
39,408,394,0000110010100111100010001111110010110010011110101010010011110000010111000010110110111001010100111001
40,408,392.9,0000110010000111100110000011010110110010010110101010010011100000110111100001110110111001010100111001
41,408,393.867,0000110010100111100010001111110010110010011110101010010011110000010111000010110110111001010100111001
42,408,393.1,0000110010000111100110000011010110110010010110101010010011100000110111100001110110111001010100111001
43,408,392.967,0000110010100111100010001111110010110010011110101010010011110000010111000010110110111001010100111001
44,408,393.3,0000110010000111100110000011010110110010010110101010010011100000110111100001110110111001010100111001
45,409,393.1,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
46,409,393.5,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
47,409,392.233,0000110010100111100110000111110110110011111110101010010011110000110111100010110110111001000000111001
48,409,390.8,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
49,409,389.6,0000110010100111100110000111110110110011111110101010010011110000110111100010110110111001000000111001
50,409,390.6,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
51,409,389.2,0000110010100111100110000111110110110011111110101010010011110000110111100010110110111001000000111001
52,409,391.4,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
53,409,391.467,0000110010100111100110000111110110110011111110101010010011110000110111100010110110111001000000111001
54,409,389.933,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
55,409,391.7,0000110010100111100110000111110110110011111110101010010011110000110111100010110110111001000000111001
56,409,392.9,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
57,409,391.267,0000110010100111100110000111110110110011111110101010010011110000110111100010110110111001000000111001
58,409,392.6,1111010010100110001011110111110110110010011110101010010011110000110111100010110110111001011000111001
59,409,393.933,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
60,409,393.633,0000110010100111100110000111110110110011111110101010010011110000110111100010110110111001000000111001
61,409,390.967,1111010010100110001011110111110110110010011110101010010011110000110111100010110110111001011000111001
62,409,392,1111010010100101001011110111110110110010011110101010010011110000110111100010110110111001010100111001
63,410,394.3,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
64,410,394.7,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
65,410,393.733,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
66,410,392.167,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
67,410,394.833,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
68,410,394,0111001010100100001011110110110100110110011110101010010011110000110111000010110110111001010100101001
69,410,393.833,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
70,410,391.467,0111001010100100001011110110110100110110011110101010010011110000110111000010110110111001010100101001
71,410,392.867,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
72,410,394.3,0111001010100100001011110110110100110110011110101010010011110000110111000010110110111001010100101001
73,410,395.3,0111001010100100001011110110110100110110011110101010010011110000111110100110110110111001001100111001
74,410,391.233,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
75,410,391.567,0111001010100100001011110110110100110110011110101010010011110000110111000010110110111001010100101001
76,410,391.667,0111001010100100001011110110110100110110011110101010010011110000111110100110110110111001001100111001
77,410,391.567,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
78,410,392.9,0111001010100100001011110110110100110110011110101010010011110000110111000010110110111001010100101001
79,410,392.467,0111001010100100001011110110110100110110011110101010010011110000111110100110110110111001001100111001
80,410,393.533,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
81,410,392.533,0111001010100100001011110110110100110110011110101010010011110000110111000010110110111001010100101001
82,410,396.967,0111001010100100001011110110110100110110011110101010010011110000111110100110110110111001001100111001
83,410,394.333,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
84,410,394.1,0111001010100100001011110110110100110110011110101010010011110000110111000010110110111001010100101001
85,410,395.7,0111001010100100001011110110110100110110011110101010010011110000111110100110110110111001001100111001
86,410,395.767,0111011010100100001011110110110110110010011110101010010011110000110111100010110110111001011000111001
87,411,395.7,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
88,411,393.633,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
89,411,391.5,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
90,411,390.333,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
91,411,391.2,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
92,411,391.067,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
93,411,391.267,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
94,411,390.967,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
95,411,391.667,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
96,411,396.233,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
97,411,395.3,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
98,411,394.833,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
99,411,392.733,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
100,411,394.833,0111001010100100001011111110110100110110011010101010010011110011101110100110110110111001001100111001
