generation,max_fitness,avg_fitness,best_individual
0,391,376.267,1000100111000110101101010100000000101110110001000111000010110001011010001000001010111101010000011011
1,391,377.767,1000100111000110101101010100000000101110110001000111000010110001011010001000001010111101010000011011
2,394,381.5,1000100111000110101101010100000000101110110001000111000011110001011001100110110010110110100010101101
3,394,381.1,1000100111000110101101010100000000101110110001000111000011110001011001100110110010110110100010101101
4,395,381.633,0101001100001111010010001010111001111011011001001111011111100100011101110111100000111111100111101001
5,395,380.8,0101001100001111010010001010111001111011011001001111011111100100011101110111100000111111100111101001
6,395,379.2,0101001100001111010010001010111001111011011001001111011111100100011101110111100000111111100111101001
7,395,381.7,0101001100001111010010001010111001111011011001001111011111100100011101110111100000111111100111101001
8,395,381.3,1010100111001110001101000100000010001111110010000111110011110001011001100110110010110111000010101011
9,399,381.567,0101001100001111010010001010111001111011011011001111011111100100010101100111100000111011100111101000
10,399,383.167,0101001100001111010010001010111001111011011011001111011111100100010101100111100000111011100111101000
11,399,381.033,0101001100001111010010001010111001111011011011001111011111100100010101100111100000111011100111101000
12,399,382,0101001100001111010010001010111001111011011011001111011111100100010101100111100000111011100111101000
13,399,382.333,0101001100001111010010001010111001111011011011001111011111100100010101100111100000111011100111101000
14,404,383.133,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
15,404,385.467,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
16,404,385,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
17,404,385.833,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
18,404,383.6,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
19,404,385.7,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
20,404,384.8,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
21,404,386.1,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
22,404,386.333,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
23,404,385.067,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
24,404,386.667,0101001100001111011010001010111001111011011001001111011111110001011001100110110010110111000000101011
25,405,387.433,0101001100001111011010001010111001111011010001001111011111110001011001100110110010110001100010101001
26,405,388.067,0101001100001111011010001010111001111011010001001111011111110001011001100110110010110001100010101001
27,405,388.633,0101001100001111011010001010111001111011010001001111011111110001011001100110110010110001100010101001
28,405,389.767,0101001100001111011010001010111001111011010001001111011111110001011001100110110010110001100010101001
29,405,387.933,0101001100001111011010001010111001111011010001001111011111110001011001100110110010110001100010101001
30,406,389.367,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
31,406,386.133,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
32,406,387.367,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
33,406,385.533,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
34,406,387.367,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
35,406,387.167,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
36,406,386.1,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
37,406,386.733,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
38,406,387.933,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
39,406,386.7,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
40,406,387.133,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
41,406,388.267,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
42,406,385.433,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
43,406,386.067,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
44,406,387.2,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
45,406,387.833,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
46,406,390.233,0101101111101101001011011011111001111011001001001111011111110001001001100110110010110111000000001011
