generation,max_fitness,avg_fitness,best_individual
0,392,376.9,0101110010110101000010111001011100110011000010000100011011100000100110100110111010101101010000100001
1,392,378,0101110010110101000010111001011100110011000010000100011011100000100110100110111010101101010000100001
2,395,378.967,1111011000110110101101110010000001010100011110110110010001001111000010010111000101000010010111111101
3,398,381.667,1111011000110110101111110110000000101011000010000100011011100000100110100110111010111101010000111001
4,398,383.2,1111011000110110101111110110000000101011000010000100011011100000100110100110111010111101010000111001
5,398,383.4,1111011000110110101111110110000000101011000010000100011011100000100110100110111010111101010000111001
6,398,381.567,1111011000110110101111110110000000101011000010000100011011100000100110100110111010111101010000111001
7,398,383.133,1111011000110110101111110110000000101011000010000100011011100000100110100110111010111101010000111001
8,399,383.733,1000101110000011101111010010011110110010000110101100011110010001110110100011111110000001010000100001
9,399,385,1000101110000011101111010010011110110010000110101100011110010001110110100011111110000001010000100001
10,399,384.467,1000101110000011101111010010011110110010000110101100011110010001110110100011111110000001010000100001
11,400,386.367,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
12,400,386.333,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
13,400,386.533,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
14,400,384.533,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
15,400,385.233,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
16,400,384.567,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
17,400,382.9,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
18,400,383.7,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
19,400,385.6,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
20,400,385.967,1010101110000111101111010000111111110010100110101101011111000001110110100011111110000001010010100001
21,400,388.167,1000101110100011101111010000111111110010000110101100011110010001110110100011111110000001010010100001
22,403,388.4,0100101110000011001111010010011010110010000110101100011110010001110110100011101110000001000000100001
23,403,389,0100101110000011001111010010011010110010000110101100011110010001110110100011101110000001000000100001
24,403,388.033,0100101110000011001111010010011010110010000110101100011110010001110110100011101110000001000000100001
