generation,max_fitness,avg_fitness,best_individual
0,391,377.933,1100000100000111101001010001100111011011010001011100101100110101100111000011000101100001111110101011
1,391,378.133,1100000100000111101001010001100111011011010001011100101100110101100111000011000101100001111110101011
2,391,377.633,1101110101000101000001011110111111010011001100111010001100110101100111001011000101100000011000111000
3,391,377.8,1100000100000111101001010001100111011011010001011100101100110101100111000011000101100001111110101011
4,391,377.7,0000110010010100011000111001111100000101001111001000001000101000011011000100010001010011001100111001
5,396,382.567,1101101010010101111000010001100111011011010001011100101100110101100111000011000001001001011110101011
6,396,384.8,1101101010010101111000010001100111011011010001011100101100110101100111000011000001001001011110101011
7,396,383.133,1101101010010101111000010001100111011011010001011100101100110101100111000011000001001001011110101011
8,396,383.167,1010011111001100001000111001000100001010010001011100110100110101100011010000101011011011001101101001
9,396,382.933,1101101010010101111000010001100111011011010001011100101100110101100111000011000001001001011110101011
10,396,384.233,1010011111001100001000111001000100001010010001011100110100110101100011010000101011011011001101101001
11,396,385.2,1101101010010101111000010001100111011011010001011100101100110101100111000011000001001001011110101011
12,397,384.167,0100110010010011011001010001100111011011010001011100101100010100000111000011001001001001011010001011
13,397,384.733,0100110010010011011001010001100111011011010001011100101100010100000111000011001001001001011010001011
14,397,384.367,0100110010010011011001010001100111011011010001011100101100010100000111000011001001001001011010001011
15,397,385.8,0100110010010011011001010001100111011011010001011100101100010100000111000011001001001001011010001011
16,397,384.167,0100110010010111011101000001100111011011011001111100101100010101010111100001001101001001111110010000
17,397,383.6,0100110010010011011001010001100111011011010001011100101100010100000111000011001001001001011010001011
18,397,383.433,0100110010010111011101000001100111011011011001111100101100010101010111100001001101001001111110010000
19,400,384.033,0100100010110011100001110101111000010001011100001011010000000001010011000111000001001001011110101011
20,400,385.1,0100100010110011100001110101111000010001011100001011010000000001010011000111000001001001011110101011
21,400,385.333,0100100010110011100001110101111000010001011100001011010000000001010011000111000001001001011110101011
22,400,383.933,0100100010110011100001110101111000010001011100001011010000000001010011000111000001001001011110101011
23,400,382.233,0101010110100101001011110101101111110010110001011100001100010100010111100001000001111101001110011111
24,400,383.533,0100100010110011100001110101111000010001011100001011010000000001010011000111000001001001011110101011
25,400,384.633,0101010110100101001011110101101111110010110001011100001100010100010111100001000001111101001110011111
26,400,387.367,0100100010110011100001110101111000010001011100001011010000000001010011000111000001001001011110101011
27,400,385.567,0101010110100101001011110101101111110010110001011100001100010100010111100001000001111101001110011111
28,400,385.967,0100100010110011100001110101111000010001011100001011010000000001010011000111000001001001011110101011
29,400,384.233,0101010110100101001011110101101111110010110001011100001100010100010111100001000001111101001110011111
30,400,385.067,0100100010110011100001110101111000010001011100001011010000000001010011000111000001001001011110101011
31,400,383.967,0101010110100101001011110101101111110010110001011100001100010100010111100001000001111101001110011111
32,403,384.9,0101110010100101001001100001100100011011111110001111010100110101000011000101100110111111000100111001
33,403,384.133,0101110010100101001001100001100100011011111110001111010100110101000011000101100110111111000100111001
34,403,382.167,0101110010100101001001100001100100011011111110001111010100110101000011000101100110111111000100111001
35,403,384.3,0101110010100101001001100001100100011011111110001111010100110101000011000101100110111111000100111001
36,403,385.167,0101110010100101001001100001100100011011111110001111010100110101000011000101100110111111000100111001
37,404,386.767,0101110010100111001001100001100100011001111110101111011000110101000011100101100110101111000100111001
38,404,385.833,0101110010100111001001100001100100011001111110101111011000110101000011100101100110101111000100111001
39,408,386.733,0101100010100101001001100000100100011011101110001111110100110100000011000111100110111111000100111001
40,408,388.3,0101100010100101001001100000100100011011101110001111110100110100000011000111100110111111000100111001
41,408,388.533,0101100010100101001001100000100100011011101110001111110100110100000011000111100110111111000100111001
42,408,389.9,0101100010100101001001100000100100011011101110001111110100110100000011000111100110111111000100111001
43,408,387.233,0101100010100101001001100000100100011011101110001111110100110100000011000111100110111111000100111001
44,408,389.167,0101100010100101001001100000100100011011101110001111110100110100000011000111100110111111000100111001
45,408,389.667,0101100010100101001001100000100100011011101110001111110100110100000011000111100110111111000100111001
46,408,389.7,0101100010100101001001100000100100011011101110001111110100110100000011000111100110111111000100111001
47,409,391.167,0101100010100101001101100000100100011011111110101101110100110100010011000011000000101111000110111001
48,409,388.967,0101100010100101001101100000100100011011111110101101110100110100010011000011000000101111000110111001
49,409,387.4,0101100010100101001101100000100100011011111110101101110100110100010011000011000000101111000110111001
50,409,388.867,0101100010100101001101100000100100011011111110101101110100110100010011000011000000101111000110111001
