generation,max_fitness,avg_fitness,best_individual
0,389,376.1,1000011000000001011100110101011100101001010001001110000101110011110111000110100110111100100111101111
1,389,377.133,1000011000000001011100110101011100101001010001001110000101110011110111000110100110111100100111101111
2,390,378.433,1111001011101001000011111100011101111110111011100101111101010000101010010111001011000110010010000101
3,392,379.3,0100011001111001000110110001100110110100010101000110010001111110010010100110101100111001100111101011
4,392,379.933,0100110000010110011100110100111000101010110010010111001010110001101010000011100111111111001111101011
5,392,379.467,0100011001111001000110110001100110110100010101000110010001111110010010100110101100111001100111101011
6,392,380.467,0100110000010110011100110100111000101010110010010111001010110001101010000011100111111111001111101011
7,392,380.367,0100011001111001000110110001100110110100010101000110010001111110010010100110101100111001100111101011
8,394,379.9,1100011001101010111000010110011100111001010000001011011000110100000110011011111001001001010110101001
9,394,382.1,1100011001101010111000010110011100111001010000001011011000110100000110011011111001001001010110101001
10,394,383.4,1100011001101010111000010110011100111001010000001011011000110100000110011011111001001001010110101001
11,394,384.567,1100011001101010111000010110011100111001010000001011011000110100000110011011111001001001010110101001
12,397,383.7,0010010100101111000000010110011100111011010000001011011000110100000110111010111001001000010110101011
13,397,384.233,0010010100101111000000010110011100111011010000001011011000110100000110111010111001001000010110101011
14,402,385.667,1100010101101111000000010110011101111011010000001111011000110100000110111010111101001000010010101011
15,402,383.6,1100010101101111000000010110011101111011010000001111011000110100000110111010111101001000010010101011
16,402,386.033,1100010101101111000000010110011101111011010000001111011000110100000110111010111101001000010010101011
17,404,385.033,0000010001110001000100010100011100111000000001001111011000110100000110111010111001001000010010101011
18,404,385.5,0000010001110001000100010100011100111000000001001111011000110100000110111010111001001000010010101011
19,404,383.933,0000010001110001000100010100011100111000000001001111011000110100000110111010111001001000010010101011
20,404,381.767,0000010001110001000100010100011100111000000001001111011000110100000110111010111001001000010010101011
21,404,383.9,0000010001110001000100010100011100111000000001001111011000110100000110111010111001001000010010101011
22,404,382.167,0000010001110001000100010100011100111000000001001111011000110100000110111010111001001000010010101011
23,404,385.667,1111111000100011010000010111011101111011010000101111011000110100000010111010111100001000010010101011
24,407,387.667,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
25,407,387.867,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
26,407,386.833,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
27,407,388.2,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
28,407,388.5,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
29,407,388.533,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
30,407,385.6,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
31,407,386.033,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
32,407,382.967,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
33,407,383.567,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
34,407,383,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
35,407,385.733,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
36,407,383.5,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
37,407,382.5,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
38,407,384.1,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
39,407,383.067,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
40,407,382.133,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
41,407,383.067,1111111000100011010000010111011101111011010000101111111001110000000110101000101011001111010000111011
42,408,385.4,1111111000100011010001110111011101111011010000101111111001110000010110101000101011011111010000111011
43,408,389.033,1111111000100011010001110111011101111011010000101111111001110000010110101000101011011111010000111011
44,408,387.433,1111111000100011000000010111011101111011010100101111111001110000000110101000001011001111010000111011
45,409,387.933,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
46,409,390.933,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
47,409,390.133,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
48,409,389.833,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
49,409,390.067,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
50,409,388.167,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
51,409,387.133,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
52,409,387.233,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
53,409,389.967,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
54,409,391.233,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
55,409,390.133,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
56,409,391.433,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
57,409,388.267,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
58,409,390.333,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
59,409,389.233,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
60,409,389.867,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
61,409,392,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
62,409,389.2,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
63,409,392.267,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
64,409,390.1,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
65,409,391.333,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
66,409,388.2,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
67,409,388.567,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
68,409,389.8,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
69,409,391.167,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
70,409,391.133,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
71,409,389.633,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
72,409,391.4,1111111100100011010001110111011101111010010100101111111001110000000110101000001011001111010000111011
73,409,390.467,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
74,409,391.5,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
75,409,390.933,0011111000100011000000110111011101111010010100100101111001110000000110101001101011001111010000111011
76,409,385.9,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
77,409,386.833,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
78,409,385.833,0011111000100011000000110111011101111010010100100101111001110000000110101001101011001111010000111011
79,409,386.2,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
80,409,387.333,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
81,409,387.567,0011111000100011000000110111011101111010010100100101111001110000000110101001101011001111010000111011
82,409,387.367,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
83,409,388.567,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
84,409,388.933,0011111000100011000000110111011101111010010100100101111001110000000110101001101011001111010000111011
85,409,389.4,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
86,409,390.433,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
87,409,388.5,0011111000100011000000110111011101111010010100100101111001110000000110101001101011001111010000111011
88,409,391.8,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
89,409,391.2,0011111000100011000000010111111100111011010100101111111001110000000110100000001011001101010000111011
90,409,390.967,0011111000100011000000110111011101111010010100100101111001110000000110101001101011001111010000111011
91,409,393.533,0100101000100011000001010111111100111011010100101111111001110000000110100000001011001101010000111001
92,410,392.067,0011111000100011000000010100111100111001010100101111111001110000000110100000001011011001010000111011
93,410,391.433,0011111000100011000000010100111100111001010100101111111001110000000110100000001011011001010000111011
94,410,391.967,0011111000100011000000010100111100111001010100101111111001110000000110100000001011011001010000111011
95,410,391.067,0011111000100011000000010100111100111001010100101111111001110000000110100000001011011001010000111011
96,410,391,0011111000100011000000010100111100111001010100101111111001110000000110100000001011011001010000111011
97,410,391.133,0011111000100011000000010100111100111001010100101111111001110000000110100000001011011001010000111011
98,410,389.433,0011111000100011000000010100111100111001010100101111111001110000000110100000001011011001010000111011
99,410,389.967,0011111000100011000000010100111100111001010100101111111001110000000110100000001011011001010000111011
