generation,max_fitness,avg_fitness,best_individual
0,388,376.867,0011001011000101000000100011100100001011110100111100101110010010111111100011001000011001000110010001
1,388,378.333,0000111010010100101000111001100101011011011001101010011111000101110110010101111110010011000111101110
2,390,378.1,1010011011010100011000001001100101010011010001101010011111000101110110010101111110010011000111101110
3,392,379.167,0111101101101100111000011100110101011011011000001010011111000101111110010101111110010011000111101110
4,392,377.967,0111101101101100111000011100110101011011011000001010011111000101111110010101111110010011000111101110
5,399,380.967,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
6,399,379.933,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
7,399,383.533,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
8,399,382.667,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
9,399,381.067,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
10,399,381.233,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
11,399,381.133,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
12,399,382.3,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
13,399,383.2,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
14,399,383.933,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
15,399,385.2,1011000000001010001001101010100001111011011000101000011000110001001111111110011111111101000110011011
16,399,385.967,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
17,399,384.6,1011000000001010001001101010100001111011011000101000011000110001001111111110011111111101000110011011
18,399,383.667,0011101100001110011100011100110101011011011000001010011111000101011100010101111110010011000110101010
19,402,385.567,1001101100000110011100111100100101011011001001011010000111110101011001101110001111111101000110011011
20,402,382.867,1001101100000110011100111100100101011011001001011010000111110101011001101110001111111101000110011011
21,402,382.967,1001101100000110011100111100100101011011001001011010000111110101011001101110001111111101000110011011
22,403,384.133,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
23,403,385.567,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
24,403,386.933,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
25,403,386.4,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
26,403,386.033,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
27,403,387.333,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
28,403,385.4,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
29,403,387.367,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
30,403,387,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
31,403,388.8,1001101100000110011100111100100101011011001001011100000111110101011001101110000111011011000110011000
32,408,390.833,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
33,408,391.1,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
34,408,388.7,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
35,408,388.367,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
36,408,388.333,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
37,408,389.4,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
38,408,390,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
39,408,392.333,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
40,408,391.867,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
41,408,393.167,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
42,408,391.833,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
43,408,391.033,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
44,408,391.367,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
45,408,390.667,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
46,408,387.933,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
47,408,387.6,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
48,408,388.533,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
49,408,390.3,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
50,408,390.2,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
51,408,391.233,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
52,408,388.333,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
53,408,391.8,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
54,408,393.9,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
55,408,393.733,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
56,408,392.067,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
57,408,390,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
58,408,390.567,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
59,408,392.167,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
60,408,391.7,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
61,408,392.267,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
62,408,390.767,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
63,408,389.567,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
64,408,389.033,1001101110000011011001111100100001011101001000001101010111110101011111101111000111111011000110011000
65,408,387.6,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
66,408,390.033,0101101100000010011101111100100001011001001001001100000111110001010101001110000110011011000110010001
67,408,394.167,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
68,408,394,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
69,408,391.8,0101101100000010011101111100100001011001001001001100000111110001010101001110000110011011000110010001
70,408,389.967,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
71,408,389.167,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
72,408,393.5,0101101100000010011101111100100001011001001001001100000111110001010101001110000110011011000110010001
73,408,392.333,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
74,408,391.4,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
75,408,394.033,0101101100000010011101111100100001011001001001001100000111110001010101001110000110011011000110010001
76,408,392.1,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
77,408,391.5,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
78,408,391.7,0101101100000010011101111100100001011001001001001100000111110001010101001110000110011011000110010001
79,408,390.333,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
80,408,389.267,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
81,408,389.333,0101101100000010011101111100100001011001001001001100000111110001010101001110000110011011000110010001
82,408,389.467,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
83,408,388.767,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
84,408,385.667,0101101100000010011101111100100001011001001001001100000111110001010101001110000110011011000110010001
85,408,388.167,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
86,408,387.867,0101101100010010011101101100100001011001001001011100010111110101011101101110000111011011000110011000
87,408,387.067,0101101100000010011101111100100001011001001001001100000111110001010101001110000110011011000110010001
88,408,386.367,0101111100010010011101101100100001011001001001001100010111110001011101001110000111011011000110011001
89,410,387.333,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
90,410,387.033,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
91,410,386.533,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
92,410,387,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
93,410,385.233,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
94,410,385.833,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
95,410,386.6,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
96,410,386.733,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
97,410,388.4,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
98,410,388.3,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
99,410,390.3,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
100,410,389.4,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
101,410,391.4,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
102,410,390.833,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
103,410,390.433,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
104,410,389.633,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
105,410,388.733,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
106,410,389.467,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
107,410,389.833,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
108,410,388.933,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
109,410,388.4,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
110,410,389.833,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
111,410,386.9,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
112,410,388.633,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
113,410,388.833,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
114,410,388.267,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
115,410,387.933,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
116,410,389,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
117,410,391.333,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
118,410,390.267,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
119,410,389.3,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
120,410,388.767,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
121,410,387.567,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
122,410,386.6,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
123,410,389.3,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
124,410,390.167,0101111000010010011101101100100001011001001001001100010111110101011101001110000111011011000110010001
125,410,390.767,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
126,410,392.7,0101111000010010011101101100100001011001001001001100010111110101011101001110000111011011000110010001
127,410,388.8,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
128,410,390.4,0101111000010010011101101100100001011001001001001100010111110101011101001110000111011011000110010001
129,410,389.633,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
130,410,390.467,0101111000010010011101101100100001011001001001001100010111110101011101001110000111011011000110010001
131,410,390.967,0101111100010010011101101100100001011001001001001000010101110001011101001110000111111011000110011000
132,410,392.833,0101101100000010011111111110100001010000001011001100000111110001010111001010100111111011000100011000
133,410,393.167,0101111000010010011101101100100001011001001001001100010111110101011101001110000111011011000110010001
