generation,max_fitness,avg_fitness,best_individual
0,390,376.733,0000101000101110011011010110101000110111001111101111100110011110101101100100010111111001000010000011
1,390,378.767,0000101000101110011011010110101000110111001111101111100110011110101101100100010111111001000010000011
2,394,378.467,0000001000101110011011010110101000110111001111101111100110010011011010010110101000100000000100111110
3,394,377.067,0000001000101110011011010110101000110111001111101111100110010011011010010110101000100000000100111110
4,394,377.3,0000001000101110011011010110101000110111001111101111100110010011011010010110101000100000000100111110
5,394,378.7,0000001000101110011011010110101000110111001111101111100110010011011010010110101000100000000100111110
6,394,380.567,0000001000101110011011010110101000110111001111101111100110010011011010010110101000100000000100111110
7,394,380.333,0000001000101110011011010110101000110111001111101111100110010011011010010110101000100000000100111110
8,395,382.633,0010101001000000001101110110110110110100001010000111100101111110111101100100010111111011000010000011
9,395,382.933,0010101001000000001101110110110110110100001010000111100101111110111101100100010111111011000010000011
10,395,381.367,0010101001000000001101110110110110110100001010000111100101111110111101100100010111111011000010000011
11,395,383.767,0010101001000000001101110110110110110100001010000111100101111110111101100100010111111011000010000011
12,395,381.733,0010101001000000001101110110110110110100001010000111100101111110111101100100010111111011000010000011
13,398,382.567,0000001000101110011011010110101000010101001111101011101110000111011010010110101000100000000100111011
14,398,385.3,0000001000101110011011010110101000010101001111101011101110000111011010010110101000100000000100111011
15,398,384.067,0000001000101110011011010110101000010101001111101011101110000111011010010110101000100000000100111011
16,401,384.767,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
17,401,384.667,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
18,401,385.667,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
19,401,387.867,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
20,401,385.767,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
21,401,383.8,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
22,401,383.1,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
23,401,382.967,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
24,401,385.367,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
25,401,384.4,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
26,401,386.767,0001001000101111111011010110101010110011001111101111101110011010111010110010101010100010000000100001
27,401,385.967,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
28,401,385.6,0001001000101111111011010110101010110011001111101111101110011010111010110010101010100010000000100001
29,401,386.833,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
30,401,386.933,0001001000101111111011010110101010110011001111101111101110011010111010110010101010100010000000100001
31,401,386.333,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
32,401,385.1,0001001000101111111011010110101010110011001111101111101110011010111010110010101010100010000000100001
33,401,383.3,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
34,401,385.033,0001001000101111111011010110101010110011001111101111101110011010111010110010101010100010000000100001
35,401,383.9,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
36,401,388.133,0100111001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
37,401,386.867,0001001000101111111011010110101010110011001111101111101110011010111010110010101010100010000000100001
38,401,386.133,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
39,401,383.667,0100111001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
40,401,386.767,0001001000101111111011010110101010110011001111101111101110011010111010110010101010100010000000100001
41,401,386.6,0000001000101111111011010110101010110011001111101111101110011010111010110010101000100010000000110011
42,401,387.333,0100111001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
43,401,387.8,0001001000101111111011010110101010110011001111101111101110011010111010110010101010100010000000100001
44,407,389.4,0000101001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
45,407,390.867,0000101001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
46,407,391.9,0000101001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
47,407,389.733,0000101001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
48,407,390.267,0000101001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
49,407,390.267,0000101001101111010101010110101010110011001111001111100110010010111010110010101110100001000000100001
50,408,393.033,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
51,408,391.767,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
52,408,393.767,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
53,408,394.367,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
54,408,390.433,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
55,408,391.333,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
56,408,391.8,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
57,408,391.033,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
58,408,390.567,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
59,408,390.2,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
60,408,390.4,0100101001101111010101010000101010110011001111101111100110010110110110110010001110100001000100100001
61,408,389.467,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
62,408,389.133,0100101001101111010101010000101010110011001111101111100110010110110110110010001110100001000100100001
63,408,388.267,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
64,408,389.333,0100101001101111010101010000101010110011001111101111100110010110110110110010001110100001000100100001
65,408,386.267,0000101001101111000101010100101010110011001111001111100110010010110110110010101110100001000000100001
66,408,387.2,0100101001101111010101010000101010110011001111101111100110010110110110110010001110100001000100100001
67,410,387.633,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
68,410,386.233,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
69,410,387.533,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
70,410,387.567,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
71,410,389.3,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
72,410,390.7,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
73,410,392.8,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
74,410,391.267,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
75,410,389.533,0000101001110111000100110100100010110011001111001111100110110010110010110000101110100001000000100001
76,410,387.733,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
77,410,389.467,0000101001110111000100110100100010110011001111001111100110110010110010110000101110100001000000100001
78,410,388.667,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
79,410,390.3,0000101001110111000100110100100010110011001111001111100110110010110010110000101110100001000000100001
80,410,389.133,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
81,410,386.3,0000101001110111000100110100100010110011001111001111100110110010110010110000101110100001000000100001
82,410,386.5,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
83,410,388.133,0000101001110111000100110100100010110011001111001111100110110010110010110000101110100001000000100001
84,410,387.533,0000101001110110000101010100101010110011001111001111100110110010110110110010101110100101000000100001
85,411,390.633,0000101001110111000100010100101010110011001111001111100110110010110110110010101110100111000000100001
86,412,391.833,0000101001100110000101010100101010110011001111001111101110110010110110110000101110101101000100101001
87,412,391.033,0000101001100110000101010100101010110011001111001111101110110010110110110000101110101101000100101001
88,412,389.933,0000101001100110000101010100101010110011001111001111101110110010110110110000101110101101000100101001
89,412,388.567,0000101001100110000101010100101010110011001111001111101110110010110110110000101110101101000100101001
90,412,391.833,0000101001100110000101010100101010110011001111001111101110110010110110110000101110101101000100101001
91,412,388.067,0000101001100110000101010100101010110011001111001111101110110010110110110000101110101101000100101001
